Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,7.587257989596898,-5.865804048873095,4.97841688545418,-4.099871998071535,8.08871933559427 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,7.402291992521612,-8.33293274088399,4.376663830569498,-6.187352441749056,7.985233344567396 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,7.197158794304944,-10.80799730991802,3.7681334329579387,-8.28099432004825,7.850368542413518 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,6.976182267549722,-13.289697754829224,3.1444728447430068,-10.382165639625328,7.693969623444537 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,6.9022679008972729,-13.090448190151875,3.07151030071293,-10.221160825625987,7.553048430773124 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,6.815239034351804,-12.913490446930736,3.0324383395028464,-10.077690980951389,7.44419598783058 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,6.745449052631158,-12.735385346837548,2.999250245007488,-9.93377558505341,7.361616573694253 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,6.686751412159895,-12.557367450683808,2.9787626333857135,-9.78722756997638,7.294140327218823 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,6.6297080463791169,-12.430330776291905,2.9664489117625409,-9.637152580456587,7.232908905278236 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,6.575724452343095,-12.304621391231058,2.9559294596247129,-9.486840325749484,7.173681332319584 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,6.5225379331116459,-12.180384771686186,2.947106721989769,-9.336257296306372,7.115314468776371 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.469892483770463,-12.057675710378641,2.9426942091961907,-9.194844836984203,7.057791078060106 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.413388295227822,-12.03065063264053,2.8806252165456955,-9.228896492918353,7.000118481929735 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.357315806131746,-12.00466668953589,2.8245868498270285,-9.269445395031824,6.941925232327778 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.301031823130911,-11.98015048442697,2.7693209916722596,-9.30954571825464,6.883373410877029 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.2446677705823518,-11.956972694322604,2.7142845989685044,-9.348577817012427,6.824722885466075 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,6.193910159397148,-11.835149751569532,2.69677715466446,-9.263375878615989,6.767232018185583 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,6.14339037611724,-11.713387101770998,2.6770039786370605,-9.170046893351924,6.711389065059092 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,6.093932741367673,-11.59160106112937,2.6575356065005169,-9.075864153281259,6.656947143061005 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,6.045353103849091,-11.469824339899775,2.638896475033107,-8.981440832845749,6.603514416306005 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,5.989937637011618,-11.470894144723909,2.591642672556418,-8.983710276214766,6.549475762200472 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,5.935164543115063,-11.471920956472904,2.5454905873035615,-8.992495273004693,6.49413295850682 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,5.879863853300732,-11.472989520293993,2.499528975849387,-9.001844900439437,6.437783751569667 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,5.824271674463828,-11.47405540584018,2.4532181341157299,-9.01133622612798,6.380950647167262 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,5.770587717798979,-11.4516911346807,2.3994323457695829,-9.044815158269217,6.324279394906218 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,5.716810675667348,-11.430486754667286,2.347658892409413,-9.078586427061737,6.268103513823075 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,5.663338603741282,-11.410363466585734,2.2963736405023384,-9.111491807977814,6.21240543644312 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,5.610175923618086,-11.391256935794513,2.245617246920233,-9.143377657194606,6.157076273288701 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,5.556570748256585,-11.341466848944906,2.221364745040887,-9.089349428374021,6.101835201346792 
 01/01  07:30:00,-10.3,188.30072792876048,1.0,22.819555959623899,1.0,22.819555959623899,188.30072792876048,5.628755662194017,-9.667558066803132,2.5006913416574436,-8.76950429392798,6.066231485601482 
 01/01  07:45:00,-10.15,924.5584615420154,1.0,109.75755355442667,1.0,109.75755355442667,924.5584615420154,6.044609392123885,-3.2930241237424258,3.702755714213083,-7.700486566772952,6.104968078364092 
 01/01  08:00:00,-10.0,1681.2103080215107,1.0,195.8764694434918,1.0,195.8764694434918,1681.2103080215107,6.570094523106571,3.182419882511449,5.031765688164228,-6.637112753194174,6.225847099594914 
 01/01  08:15:00,-9.725,2435.2559543376348,1.0,278.97248314719988,1.0,278.97248314719988,2435.2559543376348,7.028774481674497,8.362609060587515,6.418449781155061,-5.675258924135051,6.404005606607768 
 01/01  08:30:00,-9.45,3230.1064742458568,1.0,364.91995730569456,1.0,364.91995730569456,3230.1064742458568,7.494723470866252,13.43762115430874,7.817166364917966,-4.711308449136084,6.629213946136877 
