Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,5.596744904497837,-5.9019935762370478,3.326643052778195,-4.435879624039217,6.04895447842409 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,5.415178219547763,-8.369477498059054,2.7207120027692328,-6.523486464304199,5.951880253574021 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,5.2136706383232049,-10.844948166831616,2.109035971955109,-8.617491695815034,5.822905300132314 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,4.996302276309625,-13.327035120114596,1.4826839463332249,-10.719209522261054,5.671719816699496 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,4.928630244989334,-13.128071493563004,1.41396133883552,-10.56222190876133,5.535386624164116 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,4.8473210676136049,-12.950990517959877,1.380724120244622,-10.41725335983358,5.430953669281203 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,4.783175809464636,-12.772745920806094,1.3530817439780095,-10.271882291562406,5.353092280656533 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,4.730233357349723,-12.594579460972634,1.3381255231147407,-10.123865072840772,5.290812620289798 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.67900554297884,-12.468433280943298,1.333622110139629,-9.987404079962176,5.235233461143522 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.630905257758879,-12.343651356506117,1.3240838523341836,-9.831678785650638,5.181855347371761 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,4.583760434131068,-12.220393136964303,1.3231196610961434,-9.694200906962522,5.129468969522018 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,4.53702256733594,-12.098709303927148,1.3159294327449516,-9.538886464586995,5.077852089207257 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,4.4866223620607139,-12.070394303043278,1.2636885342990354,-9.574651267225704,5.026166792611662 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,4.4366006662628199,-12.043169296414174,1.2145165106485934,-9.609588773689552,4.974076583306713 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,4.386408640811624,-12.017472922548525,1.1657122242696688,-9.643604289527048,4.921690229741345 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,4.3361469181498288,-11.993174574078463,1.1171015878551316,-9.67661809768208,4.869215676202887 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,4.2915157739855,-11.871206535350109,1.1050502026533878,-9.590218058981293,4.817851773584842 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,4.247098307692604,-11.749310480945408,1.0908894187406305,-9.49580466295265,4.768083134921206 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,4.203702855297788,-11.627392019466745,1.0770095725042098,-9.400545342897658,4.719685129593865 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,4.161159762544079,-11.505483075237793,1.063927339005545,-9.30505081354056,4.67228231235441 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,4.111612764144884,-11.506455214094366,1.0218432067616164,-9.30614951668673,4.624274910200865 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0626984628576239,-11.50737102403615,0.9807922979623527,-9.313927213760735,4.57495140385958 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,4.013248383893615,-11.508328970313335,0.9399265293641861,-9.322294255285954,4.5245892940234919 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.9634849574230017,-11.50928499616676,0.8986984400622191,-9.330809379303105,4.47370221945543 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.9157156230212477,-11.485886125887289,0.8512728554568412,-9.358786728094742,4.422961529425539 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.8678248461221265,-11.463700452048606,0.8056865172072776,-9.386931514149808,4.3727156173725529 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.8202250739015914,-11.442643255899677,0.7605298653695627,-9.414326805695282,4.322947918722224 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.772924094924701,-11.422647650730492,0.7158597151636172,-9.44083888624516,4.273544976680888 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,3.725024289534002,-11.373548226411018,0.6953206826104861,-9.39021303759722,4.224174239950677 
 01/01  07:30:00,-10.3,154.67667376817298,1.0,22.819555959623899,1.0,22.819555959623899,154.67667376817298,3.797089000721086,-9.699973511267113,1.0003611633720767,-9.058866012278486,4.192830606473153 
 01/01  07:45:00,-10.15,759.4640185864273,1.0,109.75755355442667,1.0,109.75755355442667,759.4640185864273,4.196448990592957,-3.330257350800128,2.2964594307027257,-7.92592917434979,4.229665380133061 
 01/01  08:00:00,-10.0,1381.0037869211608,1.0,195.8764694434918,1.0,195.8764694434918,1381.0037869211608,4.70708855488153,3.1554970216779858,3.732826289968898,-6.781515579382699,4.34173670305733 
 01/01  08:15:00,-9.725,2000.4027330898899,1.0,278.97248314719988,1.0,278.97248314719988,2000.4027330898899,5.123069974595907,8.32978321867361,5.220587574976662,-5.757362855940187,4.506872124717209 
 01/01  08:30:00,-9.45,2653.320201414349,1.0,364.91995730569456,1.0,364.91995730569456,2653.320201414349,5.560989885723334,13.408099490626818,6.655424802369112,-4.7292266219855609,4.716907992860118 
 01/01  08:45:00,-9.175,3085.2879176042376,1.0,420.35879993239237,1.0,420.35879993239237,3085.2879176042376,5.87108336998703,16.165715438946248,7.621397550897655,-4.0938233443883409,4.95189475246514 
 01/01  09:00:00,-8.9,3533.7057043678,1.0,478.00138373643099,1.0,478.00138373643099,3533.7057043678,6.234524362324598,19.160475813551807,8.582303218006928,-3.4367256045167098,5.201253579641588 
 01/01  09:15:00,-8.350000000000002,3991.597294153641,1.0,536.9185644770597,1.0,536.9185644770597,3991.597294153641,6.544575247988116,20.277115502135599,9.573251135115016,-2.7397910474506945,5.4649665631930299 
 01/01  09:30:00,-7.800000000000001,4465.307663114688,1.0,598.0969199229219,1.0,598.0969199229219,4465.307663114688,6.883290813341951,21.52940534579426,10.580243130661643,-2.045075482473237,5.749423204885724 
 01/01  09:45:00,-7.25,4776.067163208125,1.0,637.6133352894237,1.0,637.6133352894237,4776.067163208125,7.146164032707505,21.588463090732046,11.309962481442824,-1.5557308113091609,6.047283741562637 
 01/01  10:00:00,-6.7,5082.2493409234789,1.0,676.6412284283772,1.0,676.6412284283772,5082.2493409234789,7.434397992335269,21.748204222350336,12.013761476995058,-1.0694657197751668,6.346737878411895 
 01/01  10:15:00,-6.275,5382.861284173889,1.0,715.0112779846514,1.0,715.0112779846514,5382.861284173889,7.800007177730592,23.846225493182556,12.759123510305699,-0.35901666039234217,6.464672146764469 
 01/01  10:30:00,-5.85,5676.397195345273,1.0,752.5077794605232,1.0,752.5077794605232,5676.397195345273,8.10703534698187,25.780225696880643,13.471658110381725,0.3278930431571325,6.707042191464867 
 01/01  10:45:00,-5.425,5589.1587884420709,1.0,742.5988714321785,1.0,742.5988714321785,5589.1587884420709,8.249791093679339,25.631321271797725,13.582714597401719,0.6143458869614733,6.880517303597168 
