Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.6519758829180248,-5.955662127564805,0.9018071430923556,-4.93454029451334,3.0281803484549396 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.4751909855012648,-8.42353478266754,0.2875586902694067,-7.0222195756671799,2.9406510495029307 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,2.2786766574455306,-10.899623177537548,-0.32997433112234378,-9.11657874247851,2.820346780719415 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0663630707562725,-13.382287859232326,-0.9613185281157826,-11.219002956074747,2.6766962940561145 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,2.0079182452079227,-13.18376203217678,-1.0242198572627786,-11.069046102716527,2.5468148152187926 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,1.9350210798701396,-13.006504770031354,-1.0488358922426074,-10.921847702472008,2.448491782244881 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,1.8791074310902665,-12.828057727742787,-1.0683531338857507,-10.77427165364361,2.377187964874542 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,1.8345455876463713,-12.649674446919033,-1.0752437279847982,-10.624035057349034,2.322244074577318 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.7916991530477094,-12.524845717516714,-1.0739625885194642,-10.493157497375364,2.2746718748016168 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.7522720527269136,-12.401436973426886,-1.073518229639376,-10.353901871145809,2.229789414194129 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,1.713854760935043,-12.27961852055018,-1.0716119596258978,-10.213839073399527,2.1860766816905214 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,1.6759791682165535,-12.159450390427248,-1.0690664139873434,-10.073956542988413,2.143248593081622 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,1.6344939013364913,-12.129226098681097,-1.1145090228929462,-10.091422446234674,2.1004439001646975 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,1.5934128224932645,-12.100172043791709,-1.1545243006320334,-10.115958371564944,2.0573265316258819 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,1.5521854616945994,-12.072735472647566,-1.1938130501890215,-10.140423708625747,2.0139805149126617 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,1.5108956120922364,-12.046783011154349,-1.2329057447373089,-10.164174889163064,1.9705770853245504 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,1.4752899304387453,-11.924598543122859,-1.2369923390320992,-10.076011636017939,1.9282310040509603 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,1.4398738474957296,-11.802505061877064,-1.2429209126885326,-9.980013495485196,1.887413385026372 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,1.4054225217591732,-11.68039073280478,-1.2485951349473226,-9.883180774211326,1.8479262979689775 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,1.3717863981981476,-11.558286256183669,-1.253516166156544,-9.78612116590358,1.8094162077133689 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,1.3309132276341574,-11.559117738459399,-1.2853182418858183,-9.788524542270011,1.7703991621625537 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,1.290657728260123,-11.55986752457385,-1.3188685965143919,-9.794384763648054,1.73008604668077 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,1.2498393452717814,-11.560661051016414,-1.35483018623097,-9.79896675933037,1.6885768759680678 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,1.208694504953674,-11.561457225244628,-1.386610500130189,-9.807155223169275,1.6464994754449583 
